state_x,state_y,action,q_value
1,0,MOVE_RIGHT,35.81758939213793
2,0,MOVE_RIGHT,35.51440832633783
3,0,MOVE_RIGHT,34.72798727302888
4,0,MOVE_DOWN,35.005188583206504
1,0,MOVE_DOWN,36.00340588319604
1,1,MOVE_DOWN,35.89430618143857
1,2,MOVE_UP,34.73647306141203
1,1,MOVE_RIGHT,35.619493937709684
2,1,MOVE_RIGHT,35.37201459021938
3,1,MOVE_RIGHT,35.28851712090367
1,0,MOVE_LEFT,35.75029306558026
0,0,MOVE_DOWN,36.030537205209214
0,1,MOVE_DOWN,35.916127030415595
0,2,MOVE_DOWN,35.288538928507656
0,3,MOVE_RIGHT,34.89174928459637
1,3,MOVE_UP,35.086751013932826
1,2,MOVE_RIGHT,35.985243445131466
2,2,MOVE_UP,35.63528437329804
1,1,MOVE_LEFT,36.03135503017485
0,1,MOVE_UP,35.75941748968166
0,3,MOVE_DOWN,34.18235862730116
0,4,MOVE_UP,34.324414821352626
1,3,MOVE_RIGHT,34.97899751761585
2,3,MOVE_DOWN,34.35107349488459
2,4,MOVE_RIGHT,33.79804419728747
3,4,MOVE_UP,34.30008387252537
3,3,MOVE_LEFT,34.84120819422586
3,3,MOVE_UP,35.04118841580801
3,2,MOVE_LEFT,35.79739528880643
2,2,MOVE_DOWN,35.638680055592964
2,3,MOVE_RIGHT,34.41645950029831
3,2,MOVE_UP,34.5901153107515
3,1,MOVE_UP,35.36689242255541
3,0,MOVE_DOWN,35.510204908091914
4,0,MOVE_LEFT,34.813925151564334
3,0,MOVE_LEFT,35.57301791196691
2,0,MOVE_LEFT,35.80755934160837
1,2,MOVE_LEFT,35.36655931328621
0,2,MOVE_RIGHT,35.23688069969725
1,2,MOVE_DOWN,35.0305274297328
2,3,MOVE_UP,35.25037269482479
2,2,MOVE_LEFT,34.989934809179815
1,3,MOVE_LEFT,34.66591731847403
0,3,MOVE_UP,34.7843619750719
2,3,MOVE_LEFT,34.83685056524039
1,3,MOVE_DOWN,34.675676976463606
1,4,MOVE_UP,34.84112371344085
2,4,MOVE_DOWN,33.829759082961516
2,5,MOVE_RIGHT,32.93594261109489
3,5,MOVE_UP,33.66779451922126
2,2,MOVE_RIGHT,34.996158747308215
3,2,MOVE_DOWN,34.8125393855107
0,0,MOVE_RIGHT,35.751699841014386
3,1,MOVE_DOWN,35.62080498855622
1,4,MOVE_RIGHT,34.14388727744977
2,4,MOVE_UP,34.42211484928642
2,1,MOVE_DOWN,35.42426211418474
1,4,MOVE_DOWN,33.5938097953221
1,5,MOVE_UP,33.59361755789851
3,3,MOVE_DOWN,34.25175555186108
2,1,MOVE_LEFT,35.4395116807669
3,2,MOVE_RIGHT,34.83552026403669
4,2,MOVE_UP,34.96631254209488
4,1,MOVE_RIGHT,34.62247823911573
5,1,MOVE_LEFT,34.93330403719727
4,1,MOVE_UP,34.58127084638625
4,0,MOVE_RIGHT,34.10703502488286
5,0,MOVE_DOWN,34.46093496645669
5,1,MOVE_UP,34.071002034615354
5,0,MOVE_RIGHT,33.68624321929803
6,0,MOVE_DOWN,33.73230837096203
6,1,MOVE_RIGHT,32.73123868808502
7,1,MOVE_RIGHT,32.29222945675227
3,1,MOVE_LEFT,35.606284208340455
4,2,MOVE_RIGHT,34.01158809029465
5,2,MOVE_RIGHT,34.01037241920651
6,2,MOVE_LEFT,33.56452333755586
5,2,MOVE_LEFT,34.390812522753656
4,2,MOVE_DOWN,33.87229300144685
4,3,MOVE_RIGHT,33.645650801781855
5,3,MOVE_DOWN,33.447788385148456
5,4,MOVE_RIGHT,33.1895606125043
6,4,MOVE_LEFT,32.1495019836988
5,4,MOVE_LEFT,33.51723414176303
2,0,MOVE_DOWN,35.83764854423554
4,2,MOVE_LEFT,34.485518357124185
0,4,MOVE_DOWN,33.83330541787943
0,5,MOVE_RIGHT,33.22663901834524
1,5,MOVE_LEFT,33.244981667871286
0,5,MOVE_DOWN,33.188021581736294
0,6,MOVE_RIGHT,32.76077554676952
0,1,MOVE_RIGHT,36.19490035703212
1,1,MOVE_UP,35.876812414164924
0,2,MOVE_UP,35.5260413430498
2,1,MOVE_UP,35.86515131933119
3,3,MOVE_RIGHT,33.94858452153629
4,3,MOVE_UP,34.25079343626018
0,6,MOVE_DOWN,32.466610346968096
0,7,MOVE_RIGHT,32.52173528314271
1,7,MOVE_RIGHT,32.27560680643676
2,7,MOVE_DOWN,30.387199418680687
2,8,MOVE_LEFT,26.103071804149582
1,8,MOVE_DOWN,20.61189642092087
3,5,MOVE_RIGHT,33.24666807556105
4,5,MOVE_RIGHT,32.044798931296754
5,5,MOVE_UP,33.00273756773807
5,4,MOVE_UP,33.28628128500052
5,3,MOVE_UP,34.01516759540468
5,2,MOVE_DOWN,33.74741377413257
5,4,MOVE_DOWN,32.46380233822577
5,5,MOVE_DOWN,31.763912431009935
5,6,MOVE_RIGHT,27.93403243606765
6,6,MOVE_LEFT,31.87514580220432
5,6,MOVE_UP,32.38389911980074
5,5,MOVE_LEFT,31.695106236827602
5,6,MOVE_DOWN,30.758985372472157
5,7,MOVE_DOWN,30.143409757028145
5,8,MOVE_UP,27.472363832938512
5,7,MOVE_LEFT,31.792426043957175
4,7,MOVE_LEFT,32.42522209392706
3,7,MOVE_RIGHT,32.07181752607657
4,7,MOVE_UP,32.636175541338616
4,6,MOVE_UP,33.307470744820854
4,5,MOVE_UP,33.62480928367867
4,4,MOVE_DOWN,33.59425342092451
4,5,MOVE_DOWN,32.99424101494581
4,6,MOVE_LEFT,32.3048338880934
3,6,MOVE_UP,33.01698100286613
4,4,MOVE_RIGHT,33.496547386330214
4,4,MOVE_UP,33.932754470462974
4,3,MOVE_DOWN,33.472835521084846
4,4,MOVE_LEFT,33.510560177028346
5,1,MOVE_RIGHT,33.45419082071014
6,1,MOVE_LEFT,34.14311600231364
5,1,MOVE_DOWN,34.58124550489425
6,2,MOVE_UP,33.77875796580057
4,3,MOVE_LEFT,33.73026546877043
5,3,MOVE_LEFT,33.78232662674468
5,5,MOVE_RIGHT,31.59629400177034
6,5,MOVE_RIGHT,27.92709568342159
7,5,MOVE_RIGHT,30.594376787288002
8,5,MOVE_RIGHT,18.65191116441533
9,5,MOVE_RIGHT,19.61762485912862
10,5,MOVE_RIGHT,6.258717521445277
11,5,MOVE_RIGHT,5.162808488575283
12,5,MOVE_RIGHT,3.9558831376266905
13,5,MOVE_DOWN,4.037658822364215
13,6,MOVE_DOWN,2.5424734228872077
13,7,MOVE_RIGHT,3.0639547192575423
14,7,MOVE_LEFT,2.1679160078668267
13,7,MOVE_LEFT,0.9507800722772297
12,7,MOVE_RIGHT,3.2258725956324734
14,7,MOVE_RIGHT,2.5411563349372557
15,7,MOVE_LEFT,3.272473009621411
13,7,MOVE_UP,2.1848559325331927
13,6,MOVE_UP,3.528028482816366
13,5,MOVE_LEFT,3.963373126101653
12,5,MOVE_UP,5.901641122593448
12,4,MOVE_LEFT,0.437526551781
2,4,MOVE_LEFT,34.25578415446748
3,4,MOVE_DOWN,33.08827391084647
5,3,MOVE_RIGHT,33.063848396024525
6,3,MOVE_UP,33.511589708784925
5,2,MOVE_UP,33.655825332631984
0,4,MOVE_RIGHT,34.09257523039855
1,4,MOVE_LEFT,34.1319752976876
4,5,MOVE_LEFT,33.005753162587986
3,5,MOVE_DOWN,32.62083617946918
3,6,MOVE_DOWN,32.37798521912934
3,7,MOVE_DOWN,31.519931027142764
3,4,MOVE_RIGHT,34.00964974523697
6,4,MOVE_DOWN,28.67218569686132
6,5,MOVE_UP,31.35344102194318
6,4,MOVE_RIGHT,32.446836227452934
7,4,MOVE_DOWN,30.506954604280956
7,5,MOVE_UP,16.260184147626767
7,4,MOVE_UP,32.59594681701093
7,3,MOVE_DOWN,32.33025415348326
7,4,MOVE_LEFT,32.70691149930346
7,4,MOVE_RIGHT,31.762306052840774
8,4,MOVE_DOWN,30.644783849518987
8,5,MOVE_UP,31.536830138723897
8,4,MOVE_LEFT,31.771165056697534
8,4,MOVE_RIGHT,26.781061852773334
9,4,MOVE_UP,28.89950065427778
9,3,MOVE_UP,29.915792071663205
9,2,MOVE_UP,31.23097134127886
9,1,MOVE_LEFT,31.962829696233822
8,1,MOVE_UP,31.72118492720275
8,0,MOVE_RIGHT,30.898604141353218
9,0,MOVE_DOWN,31.48170533477759
9,1,MOVE_DOWN,30.57207859002449
