state_x,state_y,action,q_value
1,0,MOVE_RIGHT,33.23569340172551
2,0,MOVE_RIGHT,32.90844611484498
3,0,MOVE_RIGHT,32.08138666299449
4,0,MOVE_DOWN,32.36472785603072
1,0,MOVE_DOWN,33.29923209050352
1,1,MOVE_DOWN,33.27815056316968
1,2,MOVE_UP,32.05266359737159
1,1,MOVE_RIGHT,33.01611532748942
2,1,MOVE_RIGHT,32.74551543878657
3,1,MOVE_RIGHT,32.64902140069316
1,0,MOVE_LEFT,33.1321976170185
0,0,MOVE_DOWN,33.371247876308864
0,1,MOVE_DOWN,33.27860518915194
0,2,MOVE_DOWN,32.63914947756896
0,3,MOVE_RIGHT,32.22932598447254
1,3,MOVE_UP,32.438342385094316
1,2,MOVE_RIGHT,33.38012510239055
2,2,MOVE_UP,33.060280805601884
1,1,MOVE_LEFT,18.65049341642576
0,1,MOVE_UP,33.12723390453849
0,3,MOVE_DOWN,31.523369354007826
0,4,MOVE_UP,31.656203832359456
1,3,MOVE_RIGHT,32.351923182830596
2,3,MOVE_DOWN,31.664534785756953
2,4,MOVE_RIGHT,30.79768515915137
3,4,MOVE_UP,31.437132943177076
3,3,MOVE_LEFT,31.90101440709808
3,3,MOVE_UP,32.3998913641644
3,2,MOVE_LEFT,33.18092996852
2,2,MOVE_DOWN,33.018614882794004
2,3,MOVE_RIGHT,31.36063173000853
3,2,MOVE_UP,31.851088655664906
3,1,MOVE_UP,32.746612744684356
3,0,MOVE_DOWN,32.902217879241654
4,0,MOVE_LEFT,32.16950910273174
3,0,MOVE_LEFT,32.97206584154742
2,0,MOVE_LEFT,33.214197108286285
1,2,MOVE_LEFT,32.72666032306402
0,2,MOVE_RIGHT,32.58333387127072
1,2,MOVE_DOWN,32.376169661512826
2,3,MOVE_UP,32.626176377172186
2,2,MOVE_LEFT,32.33417053287547
1,3,MOVE_LEFT,32.01444700787097
0,3,MOVE_UP,32.11836852576154
2,3,MOVE_LEFT,32.195965889185736
1,3,MOVE_DOWN,32.021863100199916
1,4,MOVE_UP,32.188481296992336
2,4,MOVE_DOWN,31.115536233840466
2,5,MOVE_RIGHT,28.888600381268027
3,5,MOVE_UP,30.68956221286444
2,2,MOVE_RIGHT,32.28054340225553
3,2,MOVE_DOWN,31.92093150653782
0,0,MOVE_RIGHT,33.15610268702645
3,1,MOVE_DOWN,32.917050766722575
1,4,MOVE_RIGHT,31.397172036898297
2,4,MOVE_UP,31.748144498007935
2,1,MOVE_DOWN,32.86483581430439
1,4,MOVE_DOWN,30.83411465462725
1,5,MOVE_UP,30.882351954967213
3,3,MOVE_DOWN,31.22963542145023
2,1,MOVE_LEFT,25.510299559889976
3,2,MOVE_RIGHT,31.908300528574006
4,2,MOVE_UP,32.33917557431554
4,1,MOVE_RIGHT,31.975796235935107
5,1,MOVE_LEFT,32.29330948677546
4,1,MOVE_UP,31.919490600459422
4,0,MOVE_RIGHT,31.46004384696998
5,0,MOVE_DOWN,31.818228094727935
5,1,MOVE_UP,31.485755202614016
5,0,MOVE_RIGHT,31.06682356736865
6,0,MOVE_DOWN,31.02496320851514
6,1,MOVE_RIGHT,29.965118050981708
7,1,MOVE_RIGHT,29.52832578045805
3,1,MOVE_LEFT,33.01459124674678
4,2,MOVE_RIGHT,31.269089307130365
5,2,MOVE_RIGHT,31.289028102257948
6,2,MOVE_LEFT,30.80300533938683
5,2,MOVE_LEFT,31.663859573282316
4,2,MOVE_DOWN,31.114054224970932
4,3,MOVE_RIGHT,30.887508156738093
5,3,MOVE_DOWN,30.58454715959677
5,4,MOVE_RIGHT,30.431837177897194
6,4,MOVE_LEFT,26.45933550636097
5,4,MOVE_LEFT,30.630169569150077
2,0,MOVE_DOWN,33.238938339217974
4,2,MOVE_LEFT,31.7755544752909
0,4,MOVE_DOWN,31.18917880727215
0,5,MOVE_RIGHT,30.517252358525383
1,5,MOVE_LEFT,30.51021280364342
0,5,MOVE_DOWN,30.464072106759307
0,6,MOVE_RIGHT,29.868940666284004
0,1,MOVE_RIGHT,33.4662121348853
1,1,MOVE_UP,33.28784819503325
0,2,MOVE_UP,32.884639227607046
2,1,MOVE_UP,33.27316021196293
3,3,MOVE_RIGHT,31.20786733469811
