state_x,state_y,action,q_value
13,5,MOVE_DOWN,0.0
13,6,MOVE_DOWN,1.103109
13,7,MOVE_RIGHT,0.685209
14,7,MOVE_LEFT,0.0
13,7,MOVE_LEFT,0.0
12,7,MOVE_RIGHT,0.0
14,7,MOVE_RIGHT,0.0
15,7,MOVE_LEFT,0.0
13,7,MOVE_UP,0.0
13,6,MOVE_UP,2.3309680658963603
13,5,MOVE_LEFT,0.0
12,5,MOVE_UP,1.5683945616746169
12,4,MOVE_LEFT,0.437526551781
2,4,MOVE_LEFT,64.839523892631
3,4,MOVE_DOWN,60.80962428009282
5,3,MOVE_RIGHT,69.7803094305924
6,3,MOVE_UP,73.92992981198775
5,2,MOVE_UP,68.29480394472081
0,4,MOVE_RIGHT,64.58559391078525
1,4,MOVE_LEFT,63.14133741605164
4,5,MOVE_LEFT,27.87255100396655
3,5,MOVE_DOWN,52.688435084594815
3,6,MOVE_DOWN,40.11646336089391
3,7,MOVE_DOWN,20.226909586834786
3,4,MOVE_RIGHT,64.09305774568173
6,4,MOVE_DOWN,19.34891037972509
6,5,MOVE_UP,19.32886248920997
6,4,MOVE_RIGHT,27.13436140731053
7,4,MOVE_DOWN,18.077425498758032
7,5,MOVE_UP,22.13288094597022
7,4,MOVE_UP,30.426633201953003
7,3,MOVE_DOWN,55.71922137952847
7,4,MOVE_LEFT,64.30379883030972
7,4,MOVE_RIGHT,27.975728737817775
8,4,MOVE_DOWN,5.355356454867357
8,5,MOVE_UP,19.283381018687866
8,4,MOVE_LEFT,49.25156027928713
8,4,MOVE_RIGHT,2.196246629978475
9,4,MOVE_UP,6.149158763243647
9,3,MOVE_UP,16.484263416023516
9,2,MOVE_UP,5.871686245048576
9,1,MOVE_LEFT,30.60776445672076
8,1,MOVE_UP,54.96135050080184
8,0,MOVE_RIGHT,18.74492285013428
9,0,MOVE_DOWN,24.641633227916852
9,1,MOVE_DOWN,60.77077742005174
9,2,MOVE_DOWN,80.52665851177368
9,3,MOVE_LEFT,58.48455842861139
8,3,MOVE_RIGHT,21.115562101361057
8,3,MOVE_DOWN,20.446413404508874
8,4,MOVE_UP,21.881440586988717
8,3,MOVE_UP,57.45253473850394
8,2,MOVE_DOWN,46.33147529943194
8,3,MOVE_LEFT,68.26604759409676
7,3,MOVE_LEFT,60.657271696650675
6,3,MOVE_RIGHT,67.92380241319826
7,3,MOVE_RIGHT,57.508408508611126
8,2,MOVE_LEFT,60.16234974204628
7,2,MOVE_RIGHT,60.055121935503735
8,2,MOVE_RIGHT,55.776385142304264
9,3,MOVE_RIGHT,8.427988354319021
10,3,MOVE_UP,1.1996521628075356
10,2,MOVE_LEFT,1.0283492784688915
9,2,MOVE_RIGHT,3.396003507053085
10,2,MOVE_RIGHT,1.5766184984708138
11,2,MOVE_LEFT,0.0
10,2,MOVE_UP,1.7333337288068238
6,3,MOVE_LEFT,62.33249303359498
1,5,MOVE_DOWN,49.69130914284197
1,6,MOVE_DOWN,41.94775188063021
2,8,MOVE_UP,0.0
2,7,MOVE_RIGHT,15.089215327425933
6,2,MOVE_RIGHT,74.43596707393561
7,2,MOVE_DOWN,67.9867160212848
4,1,MOVE_LEFT,72.69354725994862
6,0,MOVE_RIGHT,70.51008772340461
7,0,MOVE_DOWN,74.04074938520687
7,1,MOVE_DOWN,75.3884239392163
7,5,MOVE_LEFT,17.37559416312777
3,5,MOVE_LEFT,60.37146159975076
2,5,MOVE_DOWN,42.628545346370444
2,6,MOVE_DOWN,35.71437792580986
1,8,MOVE_RIGHT,4.479234080337273
2,7,MOVE_UP,53.527140725517015
2,6,MOVE_LEFT,60.752830954332104
1,6,MOVE_UP,61.69152376508428
0,5,MOVE_UP,63.35630203744392
6,2,MOVE_DOWN,67.72123370964103
7,2,MOVE_LEFT,68.78504144023864
6,3,MOVE_DOWN,49.182588700043915
7,3,MOVE_UP,73.47154857309089
6,1,MOVE_DOWN,72.37232368170942
6,1,MOVE_UP,65.68669292555923
7,2,MOVE_UP,75.45886014268925
7,1,MOVE_LEFT,59.760962182766804
11,5,MOVE_UP,1.6214865396793807
11,4,MOVE_LEFT,2.6384090181943556
10,4,MOVE_LEFT,4.453655582314836
9,4,MOVE_DOWN,6.378162418195113
9,5,MOVE_DOWN,0.0
9,6,MOVE_UP,9.163863149720552
9,5,MOVE_UP,5.614384060816265
9,4,MOVE_LEFT,6.384668787806314
9,4,MOVE_RIGHT,1.9809296800238485
10,4,MOVE_DOWN,1.4079506494055165
10,5,MOVE_DOWN,4.904920202771658
10,6,MOVE_RIGHT,1.246175482836657
11,6,MOVE_LEFT,1.9634460660570379
10,6,MOVE_UP,2.032019464202297
10,5,MOVE_UP,0.0
10,6,MOVE_LEFT,1.0956677860562047
9,6,MOVE_RIGHT,2.310205463118913
11,6,MOVE_DOWN,0.5591189549114088
11,7,MOVE_DOWN,2.562968266151497
